name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Leon Grill,Yes,No,4.3,285,St. Marks Road,Quick Bites,Fast Food,500,Delivery
Leon Grill,Yes,No,4.3,285,St. Marks Road,Quick Bites,Desserts,500,Delivery
Mandarin Box,No,No,4.0,79,Church Street,Quick Bites,Chinese,500,Delivery
Corner House Ice Cream,Yes,No,4.4,635,Residency Road,Dessert Parlor,Desserts,400,Delivery
IceBreakers,No,No,4.3,182,Church Street,Dessert Parlor,Desserts,400,Delivery
Soda Bottle Opener Wala,Yes,Yes,4.4,3656,Lavelle Road,"Casual Dining, Irani Cafee",North Indian,1300,Delivery
Cafe Azzure,Yes,Yes,4.3,2669,MG Road,Cafe,Cafe,1200,Delivery
Cafe Azzure,Yes,Yes,4.3,2669,MG Road,Cafe,Continental,1200,Delivery
Cafe Azzure,Yes,Yes,4.3,2669,MG Road,Cafe,Italian,1200,Delivery
Eden Park,Yes,Yes,4.1,614,Cunningham Road,Casual Dining,Chinese,1100,Delivery
Eden Park,Yes,Yes,4.1,614,Cunningham Road,Casual Dining,North Indian,1100,Delivery
Eden Park,Yes,Yes,4.1,614,Cunningham Road,Casual Dining,South Indian,1100,Delivery
Glen's Bakehouse,Yes,No,4.4,1093,Lavelle Road,"Bakery, Cafe",Cafe,600,Delivery
Glen's Bakehouse,Yes,No,4.4,1093,Lavelle Road,"Bakery, Cafe",Italian,600,Delivery
Glen's Bakehouse,Yes,No,4.4,1093,Lavelle Road,"Bakery, Cafe",Desserts,600,Delivery
Pasta Street,Yes,Yes,4.5,1623,Cunningham Road,Casual Dining,Italian,1300,Delivery
Pasta Street,Yes,Yes,4.5,1623,Cunningham Road,Casual Dining,Pizza,1300,Delivery
Mainland China,Yes,Yes,4.5,1401,Church Street,"Casual Dining, Bar",Chinese,1700,Delivery
The Tao Terraces,Yes,Yes,4.0,1913,MG Road,Casual Dining,Chinese,2100,Delivery
Chinese Corner,Yes,No,3.7,0,Church Street,Quick Bites,Chinese,200,Delivery
Toscano,Yes,Yes,4.4,1842,Lavelle Road,Casual Dining,Italian,1500,Delivery
Mudpipe Cafe,Yes,No,4.2,740,Cunningham Road,Cafe,Cafe,750,Delivery
Mudpipe Cafe,Yes,No,4.2,740,Cunningham Road,Cafe,Continental,750,Delivery
Mudpipe Cafe,Yes,No,4.2,740,Cunningham Road,Cafe,Italian,750,Delivery
The Open Box,Yes,Yes,4.2,2272,St. Marks Road,"Casual Dining, Bar",North Indian,1400,Delivery
Tandoor,Yes,Yes,3.9,1362,MG Road,Fine Dining,North Indian,2100,Delivery
The Only Place,Yes,Yes,4.2,2924,Church Street,Casual Dining,Italian,1000,Delivery
The Only Place,Yes,Yes,4.2,2924,Church Street,Casual Dining,American,1000,Delivery
The Only Place,Yes,Yes,4.2,2924,Church Street,Casual Dining,Continental,1000,Delivery
Drunken Monkey,Yes,No,4.0,122,Church Street,"Beverage Shop, Quick Bites",Fast Food,400,Delivery
The Biere Club,Yes,Yes,4.3,3485,Lavelle Road,"Pub, Microbrewery",Continental,1700,Delivery
Fava,No,Yes,4.4,2041,Lavelle Road,"Casual Dining, Bar",Desserts,1200,Delivery
Fava,No,Yes,4.4,2041,Lavelle Road,"Casual Dining, Bar",Italian,1200,Delivery
Fava,No,Yes,4.4,2041,Lavelle Road,"Casual Dining, Bar",Pizza,1200,Delivery
